route,point,territory,house,route_id
101,Gopalganj,Madaripur,Kazi Sayed Ali,120
101,Madaripur,Madaripur,M/S Tarik Ahmed Dipu (Madaripur),121
101,Rajbari,Rajbari,M/S Tarik Ahmed Dipu (Rajbari),122
101,Dhunot,Bogura-2,Mr Brothers,123
101,Gaibandha,Gaibandha,M/S. Spectrum Trading Corporation,124
101,Ranisankail,Thakurgaon,Moulovi Brothers,125
101,Shotibari,Rangpur,"Shaireen Enterprise, Rangpur",126
1010,Masterbari,Mymensingh 2,Noor Sons,127
1011,Masterbari,Mymensingh 2,Noor Sons,128
1012,Masterbari,Mymensingh 2,Noor Sons,129
102,Nabiganj (DE),Munshiganj,The Jamal & Co - Narayanganj,130
102,Kotwali,Kotwali (DHK),Alam Corporation Ltd.,131
102,Sutrapur,Sutrapur,Sales Promotion Service,132
102,Dhanmondi,Dhanmondi,The Jamal & Co - Dhanmondi,133
